"id","nombre","asc","domicilio","colonia","cp","telefono","correo","tipo","ciudad","latitud","longitud","web","descripcion"
1,"Air Depot",NULL,NULL,NULL,NULL,83497530,NULL,1,1,NULL,NULL,NULL,NULL
2,"Fujimura",NULL,NULL,NULL,NULL,81906806,NULL,1,1,NULL,NULL,NULL,NULL
3,"ClimaProyectos",NULL,NULL,NULL,NULL,81251700,NULL,1,1,NULL,NULL,NULL,NULL
4,"VentAir",NULL,NULL,NULL,NULL,83721530,NULL,1,1,NULL,NULL,NULL,NULL
5,"Cristal Water",NULL,NULL,NULL,NULL,80442900,NULL,1,1,NULL,NULL,NULL,NULL
6,"Retoccsa",NULL,NULL,NULL,NULL,3336519276,NULL,1,2,NULL,NULL,NULL,NULL
7,"Polar kit",NULL,NULL,NULL,NULL,3336302008,NULL,1,2,NULL,NULL,NULL,NULL
8,"ClimaProyectos",NULL,NULL,NULL,NULL,"01800 9000700",NULL,1,2,NULL,NULL,NULL,NULL
9,"Celsius",NULL,NULL,NULL,NULL,6677615000,NULL,1,3,NULL,NULL,NULL,NULL
10,"ClimaProyectos",NULL,NULL,NULL,NULL,"01800 9000700",NULL,1,3,NULL,NULL,NULL,NULL
11,"Midea Center",NULL,NULL,NULL,NULL,6622161750,NULL,1,4,NULL,NULL,NULL,NULL
12,"ClimaProyectos",NULL,NULL,NULL,NULL,"01800 9000700",NULL,1,4,NULL,NULL,NULL,NULL
13,"Thermokold",NULL,NULL,NULL,NULL,"99-9911-1035",NULL,1,5,NULL,NULL,NULL,NULL
14,"XAZE",NULL,NULL,NULL,NULL,"99-9928-0374",NULL,1,5,NULL,NULL,NULL,NULL
15,"Telebodega",NULL,"",NULL,NULL,"99-8888-3400",NULL,1,6,NULL,NULL,NULL,NULL
16,"Telebodega",NULL,NULL,NULL,NULL,"99-8888-3400",NULL,1,7,NULL,NULL,NULL,NULL
17,"Thermokold",NULL,NULL,NULL,NULL,"99-9911-1035",NULL,1,8,NULL,NULL,NULL,NULL
18,"Ayrisa",NULL,NULL,NULL,NULL,"99-3131-3824",NULL,1,9,NULL,NULL,NULL,NULL
19,"Multistar",NULL,NULL,NULL,NULL,"99-3316-0217",NULL,1,9,NULL,NULL,NULL,NULL
20,"Thermokold",NULL,NULL,NULL,NULL,"99-9911-1035",NULL,1,9,NULL,NULL,NULL,NULL
21,"Avante",NULL,NULL,NULL,NULL,"22-9931-7581",NULL,1,10,NULL,NULL,NULL,NULL
22,"Thermokold",NULL,NULL,NULL,NULL,"99-9911-1035",NULL,1,10,NULL,NULL,NULL,NULL
23,"Xaze",NULL,NULL,NULL,NULL,"99-9928-0374",NULL,1,10,NULL,NULL,NULL,NULL
24,"Pegaso",NULL,NULL,NULL,NULL,"92-1212-1409",NULL,1,11,NULL,NULL,NULL,NULL
25,"Pegaso",NULL,NULL,NULL,NULL,"92-1212-1409",NULL,1,12,NULL,NULL,NULL,NULL
26,"Resurtidora",NULL,NULL,NULL,NULL,"55-5578-9082",NULL,1,13,NULL,NULL,NULL,NULL
27,"Resurtidora",NULL,NULL,NULL,NULL,"55-5578-9082",NULL,1,14,NULL,NULL,NULL,NULL
28,"Soconusco",NULL,NULL,NULL,NULL,"96-1611-3905",NULL,1,15,NULL,NULL,NULL,NULL
29,"Tapachula",NULL,NULL,NULL,NULL,"96-1611-3905",NULL,1,15,NULL,NULL,NULL,NULL
30,"Sinsel",NULL,NULL,NULL,NULL,"31-2314-9015",NULL,1,17,NULL,NULL,NULL,NULL
31,"Climas e instalaciones","SAM0902","Rio Lerma 331 ","Mexico",64000,"01 (81) 80405927","climaseinstalaciones@hotmail.com",2,1,NULL,NULL,NULL,NULL
32,"TERMOSERVICIOS DEL SURESTE SA DE CV","SAM3101","CALLE 37 # 371, ENTRE 42 Y 44"," JESUS CARRANZA",97109,"01 (999) 9273822","termoservicio@hotmail.com",2,5,NULL,NULL,NULL,NULL
33,"SERVICEDEPOT","SAM3102","Calle 60 # 227 A, Local 6 x 22 y Cto.Colonias","Buenavista",97144,"01 (999) 3162345","service_depot@hotmail.com",2,5,NULL,NULL,NULL,NULL
34,"SERVICIO TECNICO INTEGRAL","SAM3103","CALLE 41 No.223-A","Centro",97780,"01 (985)85 65529","cse_mulsay@prodigy.net.mx",2,18,NULL,NULL,NULL,NULL
35,"Regio Climas Garcia","SAM0901","Rio Volga 139","Col. Jardines de Huinala",66640,"01 (81) 44440853","regioclimasgarcia@hotmail.com",2,19,NULL,NULL,NULL,NULL
36,"REFRIGERACION JALAPA ","SAM2603","AV. LAZARO CARDENAS #444","ENCINAL",91180,"01 (228) 1655819","refrixa@hotmail.com",2,20,NULL,NULL,NULL,NULL
37,"CENTRO DE SERVICIO MANOLO","SAM2601","CALLE 1 #142, ESQ. OLMEDO","COL. NUEVA ERA",94295,"01 (229) 9357293","tecmanolo@hotmail.com",2,10,NULL,NULL,NULL,NULL
38,"SERVIFAST","SAM2602","FERROCARRIL NO. 387","COL. AVIACION VIEJA",93360,"01 (782) 8265032","servifast@hotmail.com",2,21,NULL,NULL,NULL,NULL
39,"Rep De Aparatos Elect. En Gral","SAM2604","Av.Universidad # 901   ","Col.Benito Juarez Sur   ",96580,"01 (921) 2146483","cto.dereparacion471@yahoo.com.mx",2,11,NULL,NULL,NULL,NULL
40,"CEISSA","SAM3201","Ave. Kabah SM 32 M 4 Lote 14 Depto. A","Zona Urbana",77508,"01 (998) 2531770","ceissa.cancun@hotmail.com",2,6,NULL,NULL,NULL,NULL
41,"SERVICIO TECNICO PINELO","SAM3202","Av. kabah entre la lopez portillo y calle edzna  plaza kabah local 3","Col. Cancun Centro",77500,"01 (984) 859 4352","serviciosstp@hotmail.com",2,6,NULL,NULL,NULL,NULL
43,"E SERVICIOS","SAM3203","TUCAN No.9 ESQ. AV. INSURGENTES","COL. FIDEL VELAZQUEZ",77080,"01 (983) 8370703","sercsa@hotmail.com",2,22,NULL,NULL,NULL,NULL
42,"SERVICIO TECNICO PINELO","SAM3202","Calle 106 entre  40 y 45 Mz. 519 Lt. 15  ","Col. Colosio",77728,"01 (984) 859 4352","serviciosstp@hotmail.com",2,7,NULL,NULL,NULL,NULL
44,"ELECTRONICA Y POTENCIA","SAM3204","85 AV BIS LOTE 1 ESQ. 1 SUR BIS Y ADOLFO ROSADO SALAS","COL. RICARDO FLORES MAGON",77600,"01 (987) 8696213","adolfo.flores@electronicaypotencia.com.mx",2,23,NULL,NULL,NULL,NULL
